time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-06 16:38:32.095109,2. Người mua trả tiền trước dài hạn,,,,
2025-12-06 16:38:32.095109,3. Chi phí phải trả dài hạn,,,,
2025-12-06 16:38:32.095109,4. Phải trả nội bộ về vốn kinh doanh,,,,
2025-12-06 16:38:32.095109,5. Phải trả nội bộ dài hạn,,,,
2025-12-06 16:38:32.095109,6. Doanh thu chưa thực hiện dài hạn,,,,
2025-12-06 16:38:32.095109,7. Phải trả dài hạn khác,,,,
2025-12-06 16:38:32.095109,8. Vay và nợ thuê tài chính dài hạn,,,,
2025-12-06 16:38:32.095109,9. Trái phiếu chuyển đổi,,,,
2025-12-06 16:38:32.095109,10. Cổ phiếu ưu đãi,,,,
2025-12-06 16:38:32.095109,11. Thuế thu nhập hoãn lại phải trả,,,,
2025-12-06 16:38:32.095109,12. Dự phòng phải trả dài hạn,,,,
2025-12-06 16:38:32.095109,13. Quỹ phát triển khoa học và công nghệ,,,,
2025-12-06 16:38:32.095109,D.VỐN CHỦ SỞ HỮU,,,,
2025-12-06 16:38:32.095109,1. Vốn góp của chủ sở hữu,,,,
2025-12-06 16:38:32.095109,- Cổ phiếu phổ thông có quyền biểu quyết,,,,
2025-12-06 16:38:32.095109,- Cổ phiếu ưu đãi,,,,
2025-12-06 16:38:32.095109,2. Thặng dư vốn cổ phần,,,,
2025-12-06 16:38:32.095109,3. Quyền chọn chuyển đổi trái phiếu,,,,
2025-12-06 16:38:32.095109,4. Vốn khác của chủ sở hữu,,,,
2025-12-06 16:38:32.095109,5. Cổ phiếu quỹ,,,,
2025-12-06 16:38:32.095109,6. Chênh lệch đánh giá lại tài sản,,,,
2025-12-06 16:38:32.095109,7. Chênh lệch tỷ giá hối đoái,,,,
2025-12-06 16:38:32.095109,8. Quỹ đầu tư phát triển,,,,
2025-12-06 16:38:32.095109,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
2025-12-06 16:38:32.095109,10. Quỹ khác thuộc vốn chủ sở hữu,,,,
2025-12-06 16:38:32.095109,11. Lợi nhuận sau thuế chưa phân phối,,,,
2025-12-06 16:38:32.095109,- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,
2025-12-06 16:38:32.095109,- LNST chưa phân phối kỳ này,,,,
2025-12-06 16:38:32.095109,12. Nguồn vốn đầu tư XDCB,,,,
2025-12-06 16:38:32.095109,13. Lợi ích cổ đông không kiểm soát,,,,
2025-12-06 16:38:32.095109,II. Nguồn kinh phí và quỹ khác,,,,
2025-12-06 16:38:32.095109,1. Nguồn kinh phí,,,,
2025-12-06 16:38:32.095109,2. Nguồn kinh phí đã hình thành TSCĐ,,,,
2025-12-06 16:38:32.095109,TỔNG CỘNG NGUỒN VỐN,,,,
