time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-11-27 20:03:09.367300,VI. Tài sản dài hạn khác,"15,124,027,565","14,406,008,233","9,620,271,395","11,837,519,600"
2025-11-27 20:03:09.367300,1. Chi phí trả trước dài hạn,"12,306,679,405","12,922,013,375","8,110,422,680","10,520,516,367"
2025-11-27 20:03:09.367300,2. Tài sản thuế thu nhập hoãn lại,"2,817,348,160","1,483,994,858","1,509,848,715","1,317,003,233"
2025-11-27 20:03:09.367300,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
2025-11-27 20:03:09.367300,4. Tài sản dài hạn khác,,,,
2025-11-27 20:03:09.367300,5. Lợi thế thương mại,,,,
2025-11-27 20:03:09.367300,TỔNG CỘNG TÀI SẢN,"7,067,194,933,571","7,707,667,818,983","7,799,807,314,195","7,782,911,298,773"
2025-11-27 20:03:09.367300,C. NỢ PHẢI TRẢ,"5,204,790,495,056","5,702,004,092,050","5,807,392,139,525","5,624,178,007,257"
2025-11-27 20:03:09.367300,I. Nợ ngắn hạn,"4,616,542,505,327","5,075,189,840,496","5,237,078,800,242","5,064,298,508,272"
2025-11-27 20:03:09.367300,1. Phải trả người bán ngắn hạn,"610,238,381,166","445,367,401,438","391,764,433,723","502,185,080,377"
2025-11-27 20:03:09.367300,2. Người mua trả tiền trước ngắn hạn,"412,903,727,151","658,579,446,045","844,967,602,912","623,928,068,148"
2025-11-27 20:03:09.367300,3. Thuế và các khoản phải nộp nhà nước,"191,977,775,106","87,548,470,802","124,771,820,226","183,157,831,649"
2025-11-27 20:03:09.367300,4. Phải trả người lao động,"829,721,634,421","617,035,291,531","795,990,080,173","971,566,113,239"
2025-11-27 20:03:09.367300,5. Chi phí phải trả ngắn hạn,"962,971,041,492","870,035,309,238","919,159,231,317","1,010,826,818,665"
2025-11-27 20:03:09.367300,6. Phải trả nội bộ ngắn hạn,,,,
2025-11-27 20:03:09.367300,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
2025-11-27 20:03:09.367300,8. Doanh thu chưa thực hiện ngắn hạn,"315,637,440,057","484,713,090,715","259,097,844,985","188,333,241,875"
2025-11-27 20:03:09.367300,9. Phải trả ngắn hạn khác,"202,666,389,301","209,174,434,101","234,583,534,480","225,519,484,428"
2025-11-27 20:03:09.367300,10. Vay và nợ thuê tài chính ngắn hạn,"1,052,105,942,834","1,679,075,590,434","1,516,314,995,894","1,213,453,046,966"
2025-11-27 20:03:09.367300,11. Dự phòng phải trả ngắn hạn,"10,379,694,620","10,263,420,686","9,241,073,168","11,453,311,245"
2025-11-27 20:03:09.367300,12. Quỹ khen thưởng phúc lợi,"27,940,479,179","13,397,385,506","141,188,183,364","133,875,511,680"
2025-11-27 20:03:09.367300,13. Quỹ bình ổn giá,,,,
2025-11-27 20:03:09.367300,14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
2025-11-27 20:03:09.367300,II. Nợ dài hạn,"588,247,989,729","626,814,251,554","570,313,339,283","559,879,498,985"
2025-11-27 20:03:09.367300,1. Phải trả người bán dài hạn,,,,
2025-11-27 20:03:09.367300,2. Người mua trả tiền trước dài hạn,,,,
2025-11-27 20:03:09.367300,3. Chi phí phải trả dài hạn,,,,
2025-11-27 20:03:09.367300,4. Phải trả nội bộ về vốn kinh doanh,,,,
2025-11-27 20:03:09.367300,5. Phải trả nội bộ dài hạn,,,,
2025-11-27 20:03:09.367300,6. Doanh thu chưa thực hiện dài hạn,,,,
2025-11-27 20:03:09.367300,7. Phải trả dài hạn khác,"15,330,600,000","15,459,000,000","15,771,000,000","15,867,600,000"
2025-11-27 20:03:09.367300,8. Vay và nợ thuê tài chính dài hạn,"572,917,389,729","611,355,251,554","554,542,339,283","544,011,898,985"
2025-11-27 20:03:09.367300,9. Trái phiếu chuyển đổi,,,,
2025-11-27 20:03:09.367300,10. Cổ phiếu ưu đãi,,,,
2025-11-27 20:03:09.367300,11. Thuế thu nhập hoãn lại phải trả,,,,
2025-11-27 20:03:09.367300,12. Dự phòng phải trả dài hạn,,,,
2025-11-27 20:03:09.367300,13. Quỹ phát triển khoa học và công nghệ,,,,
2025-11-27 20:03:09.367300,D.VỐN CHỦ SỞ HỮU,"1,862,404,438,515","2,005,663,726,933","1,992,415,174,670","2,158,733,291,516"
2025-11-27 20:03:09.367300,1. Vốn góp của chủ sở hữu,"1,143,858,790,000","1,143,858,790,000","1,143,858,790,000","1,143,858,790,000"
2025-11-27 20:03:09.367300,- Cổ phiếu phổ thông có quyền biểu quyết,"1,143,858,790,000","1,143,858,790,000","1,143,858,790,000","1,143,858,790,000"
2025-11-27 20:03:09.367300,- Cổ phiếu ưu đãi,,,,
2025-11-27 20:03:09.367300,2. Thặng dư vốn cổ phần,"-15,000,000","-15,000,000","-15,000,000","-15,000,000"
2025-11-27 20:03:09.367300,3. Quyền chọn chuyển đổi trái phiếu,,,,
2025-11-27 20:03:09.367300,4. Vốn khác của chủ sở hữu,,,,
2025-11-27 20:03:09.367300,5. Cổ phiếu quỹ,,,,
2025-11-27 20:03:09.367300,6. Chênh lệch đánh giá lại tài sản,,,,
2025-11-27 20:03:09.367300,7. Chênh lệch tỷ giá hối đoái,"19,113,255,717","39,270,543,093","17,650,679,670","18,932,336,695"
2025-11-27 20:03:09.367300,8. Quỹ đầu tư phát triển,"100,000,000,000","100,000,000,000","259,487,704,473","259,487,704,473"
2025-11-27 20:03:09.367300,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
2025-11-27 20:03:09.367300,10. Quỹ khác thuộc vốn chủ sở hữu,,,,
2025-11-27 20:03:09.367300,11. Lợi nhuận sau thuế chưa phân phối,"599,447,392,798","722,549,393,840","571,433,000,527","736,469,460,348"
2025-11-27 20:03:09.367300,- LNST chưa phân phối lũy kế đến cuối kỳ trước,"60,754,751,018","599,637,519,635","304,743,394,768","300,603,031,691"
2025-11-27 20:03:09.367300,- LNST chưa phân phối kỳ này,"538,692,641,780","122,911,874,205","266,689,605,759","435,866,428,657"
2025-11-27 20:03:09.367300,12. Nguồn vốn đầu tư XDCB,,,,
2025-11-27 20:03:09.367300,13. Lợi ích cổ đông không kiểm soát,,,,
2025-11-27 20:03:09.367300,II. Nguồn kinh phí và quỹ khác,,,,
2025-11-27 20:03:09.367300,1. Nguồn kinh phí,,,,
2025-11-27 20:03:09.367300,2. Nguồn kinh phí đã hình thành TSCĐ,,,,
2025-11-27 20:03:09.367300,TỔNG CỘNG NGUỒN VỐN,"7,067,194,933,571","7,707,667,818,983","7,799,807,314,195","7,782,911,298,773"
